 YSI data from 1 mab at station  7 2007, times are edt                                         
     date    depth     temp     cond       do     turb      chl     batv        
 203.0000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.0208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.0417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.0625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.0833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.1042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.1250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.1458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.1667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.1875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.2083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.2292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.2500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.2708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.2917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   14.400
 203.3125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.3333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.3542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.3750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.3958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.4167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.4375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.4583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.4792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.5000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.5208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.5417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 203.5625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 203.5833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.6042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.6250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.6458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.6667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 203.6875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.200
 203.7083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.7292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.7500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 203.7708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.7917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 203.8125   24.256   10.130  189.000    7.580   -2.900  224.800   15.200
 203.8333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.8542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.8750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.8958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.9167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.9375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.9583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 203.9792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 204.0000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 204.0208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 204.0417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 204.0625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 204.0833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 204.1042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 204.1250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 204.1458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 204.1667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.900
 204.1875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 204.2083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 204.2292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 204.2500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 204.2708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.800
 204.2917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.3125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.3333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.3542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.3750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.3958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.4167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.4375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.4583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.4792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.5000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.5208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.5417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.5625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.5833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.6042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.6250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.700
 204.6458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.500
 204.6667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.6875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.7083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.600
 204.7292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.500
 204.7500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.500
 204.7708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.400
 204.7917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.500
 204.8125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.400
 204.8333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.400
 204.8542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.400
 204.8750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
 204.8958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.400
 204.9167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
 204.9375   24.223   10.130  189.000    7.210   -2.500  244.300   14.900
 204.9583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
 204.9792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
 205.0000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.200
 205.0208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
 205.0417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.200
 205.0625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
 205.0833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.200
 205.1042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.200
 205.1250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.300
